FIPS,county,census_2020_count,july1_2021_pop_est,july1_2022_pop_est,july1_2023_pop_est,july1_2024_pop_est,jan1_2025_pop_est,num_chg_20_24,num_chg_20_25,pct_chg_20_24,pct_chg_20_25
48487,Wilbarger,12887,12900,12423,12617,12583,12566,-304,-321,-2.4,-2.5
48489,Willacy,20164,20040,20166,20264,20428,20510,264,346,1.3,1.7
48491,Williamson,609017,645161,671783,703718,726534,737942,117517,128925,19.3,21.2
48493,Wilson,49753,51129,52462,53327,55364,56383,5611,6630,11.3,13.3
48495,Winkler,7791,7686,7670,7661,7708,7731,-83,-60,-1.1,-0.8
48497,Wise,68632,70974,73795,78163,76690,75954,8058,7322,11.7,10.7
48499,Wood,44843,45182,47327,48219,48042,47953,3199,3110,7.1,6.9
48501,Yoakum,7694,7631,7504,7624,7554,7519,-140,-175,-1.8,-2.3
48503,Young,17867,17854,17992,18411,18153,18024,286,157,1.6,0.9
48505,Zapata,13889,13793,13859,13564,13830,13963,-59,74,-0.4,0.5
48507,Zavala,9670,9667,9689,9618,9570,9546,-100,-124,-1.0,-1.3
